"Date","Price","Open","High","Low","Vol.","Change %"
"Jan 01, 2019","368.30","370.00","376.00","363.00","94.88K","0.27%"
"Dec 27, 2018","367.30","361.00","382.00","360.30","285.13K","1.75%"
"Dec 26, 2018","361.00","360.50","361.50","360.30","105.65K","0.17%"
"Dec 24, 2018","360.40","360.00","361.90","359.70","162.75K","0.22%"
"Dec 23, 2018","359.60","356.10","360.00","356.00","52.66K","0.78%"
"Dec 20, 2018","356.80","356.00","359.70","356.00","47.32K","0.08%"
"Dec 19, 2018","356.50","360.50","360.50","356.10","60.44K","-0.86%"
"Dec 18, 2018","359.60","360.50","360.50","358.00","127.74K","0.20%"
"Dec 17, 2018","358.90","356.30","359.80","356.30","146.07K","0.73%"
"Dec 13, 2018","356.30","354.90","357.80","353.80","42.18K","0.39%"
"Dec 12, 2018","354.90","355.50","357.00","354.60","77.28K","-0.17%"
"Dec 11, 2018","355.50","359.70","360.50","354.70","211.47K","-1.17%"
"Dec 10, 2018","359.70","362.10","362.10","359.00","104.41K","-0.64%"
"Dec 09, 2018","362.00","363.60","363.60","361.30","48.59K","-0.25%"
"Dec 06, 2018","362.90","362.00","363.70","360.10","106.66K","0.58%"
"Dec 05, 2018","360.80","362.40","363.50","360.00","171.18K","-0.44%"
"Dec 04, 2018","362.40","360.10","364.90","360.00","89.40K","0.50%"
"Dec 03, 2018","360.60","360.20","363.00","360.00","40.03K","0.06%"
"Dec 02, 2018","360.40","363.40","363.90","359.50","60.28K","-0.63%"
"Nov 29, 2018","362.70","366.70","366.70","361.30","124.90K","-1.28%"
"Nov 28, 2018","367.40","366.20","369.20","365.00","102.19K","0.38%"
"Nov 27, 2018","366.00","362.80","367.40","361.00","95.71K","1.22%"
"Nov 26, 2018","361.60","361.10","364.30","360.00","123.24K","0.00%"
"Nov 25, 2018","361.60","364.50","364.50","360.00","130.64K","-0.69%"
"Nov 22, 2018","364.10","358.20","365.00","355.60","141.50K","2.05%"
"Nov 20, 2018","356.80","359.90","359.90","352.30","369.14K","-0.86%"
"Nov 19, 2018","359.90","365.10","365.10","357.50","334.27K","-1.42%"
"Nov 18, 2018","365.10","368.80","369.90","364.70","139.11K","-0.65%"
"Nov 15, 2018","367.50","368.00","369.50","367.00","62.71K","0.00%"
"Nov 14, 2018","367.50","376.50","376.50","366.10","161.38K","-2.36%"
"Nov 13, 2018","376.40","377.50","378.00","375.20","51.70K","0.27%"
"Nov 12, 2018","375.40","379.00","380.00","375.00","134.76K","-1.11%"
"Nov 11, 2018","379.60","376.70","380.50","375.70","64.70K","0.80%"
"Nov 08, 2018","376.60","376.50","378.20","375.00","55.49K","0.03%"
"Nov 07, 2018","376.50","375.00","390.00","373.50","117.74K","0.43%"
"Nov 06, 2018","374.90","376.00","376.00","374.10","89.34K","-0.50%"
"Nov 05, 2018","376.80","380.00","380.00","375.50","83.14K","-0.37%"
"Nov 04, 2018","378.20","382.00","382.00","378.00","68.70K","-0.50%"
"Nov 01, 2018","380.10","379.10","381.00","379.00","79.61K","0.08%"
"Oct 31, 2018","379.80","380.50","381.90","379.00","156.97K","-0.11%"
"Oct 30, 2018","380.20","383.00","385.50","379.00","166.42K","-0.50%"
"Oct 29, 2018","382.10","384.00","384.00","380.10","229.10K","-0.05%"
"Oct 28, 2018","382.30","383.00","387.00","379.20","198.44K","-0.18%"
"Oct 25, 2018","383.00","381.00","384.80","375.00","266.69K","1.06%"
"Oct 24, 2018","379.00","372.00","380.00","372.00","294.14K","2.38%"
"Oct 23, 2018","370.20","365.00","372.90","365.00","264.35K","1.96%"
"Oct 22, 2018","363.10","363.80","366.80","361.00","76.71K","-0.19%"
"Oct 21, 2018","363.80","363.20","366.00","362.50","56.73K","0.17%"
"Oct 18, 2018","363.20","364.00","364.10","362.20","58.85K","-0.11%"
"Oct 17, 2018","363.60","362.60","364.30","362.50","109.55K","0.33%"
"Oct 16, 2018","362.40","362.60","364.30","361.80","78.56K","-0.06%"
"Oct 15, 2018","362.60","364.00","366.10","362.00","148.00K","-0.19%"
"Oct 14, 2018","363.30","365.50","365.50","362.20","78.25K","-0.25%"
"Oct 11, 2018","364.20","362.30","366.00","361.10","236.48K","0.52%"
"Oct 10, 2018","362.30","363.00","366.70","361.00","164.03K","-0.11%"
"Oct 09, 2018","362.70","359.60","368.90","359.60","136.23K","0.86%"
"Oct 08, 2018","359.60","364.80","365.00","357.80","434.65K","-0.58%"
"Oct 07, 2018","361.70","365.10","368.90","360.00","178.08K","-0.99%"
"Oct 04, 2018","365.30","374.90","374.90","364.00","220.04K","-1.51%"
"Oct 03, 2018","370.90","368.60","372.00","368.60","160.44K","0.00%"
"Oct 02, 2018","370.90","372.00","373.00","370.50","164.85K","-0.27%"
"Oct 01, 2018","371.90","372.40","379.80","371.00","258.84K","0.40%"
"Sep 30, 2018","370.40","367.10","372.00","365.00","141.13K","0.90%"
"Sep 27, 2018","367.10","366.20","368.80","366.20","77.41K","-0.35%"
"Sep 26, 2018","368.40","367.00","369.30","365.50","151.01K","0.99%"
"Sep 25, 2018","364.80","363.10","365.40","359.10","105.90K","0.50%"
"Sep 24, 2018","363.00","368.00","368.00","360.40","171.82K","-0.06%"
"Sep 23, 2018","363.20","358.20","371.90","356.00","242.38K","1.65%"
"Sep 20, 2018","357.30","361.50","363.00","353.10","439.47K","-1.08%"
"Sep 19, 2018","361.20","364.60","365.90","360.00","211.30K","-0.71%"
"Sep 18, 2018","363.80","368.10","372.60","362.90","143.88K","-1.14%"
"Sep 17, 2018","368.00","369.00","370.00","366.70","86.85K","0.00%"
"Sep 16, 2018","368.00","373.00","373.00","366.50","92.97K","-0.70%"
"Sep 13, 2018","370.60","378.00","378.00","369.80","149.43K","-1.62%"
"Sep 12, 2018","376.70","380.20","382.00","374.00","161.25K","-1.08%"
"Sep 11, 2018","380.80","380.00","382.00","380.00","105.10K","0.50%"
"Sep 10, 2018","378.90","380.00","382.10","378.50","190.53K","-0.32%"
"Sep 09, 2018","380.10","384.00","385.00","378.10","160.90K","-1.04%"
"Sep 06, 2018","384.10","388.50","389.70","380.40","183.65K","-1.11%"
"Sep 05, 2018","388.40","389.00","390.00","385.80","151.73K","0.15%"
"Sep 04, 2018","387.80","385.60","390.80","385.50","118.84K","0.23%"
"Sep 03, 2018","386.90","387.00","388.00","385.50","138.82K","0.08%"
"Aug 30, 2018","386.60","385.20","388.50","385.20","140.25K","-0.21%"
"Aug 29, 2018","387.40","391.50","392.90","385.60","164.35K","-0.64%"
"Aug 28, 2018","389.90","383.50","391.20","383.50","180.03K","1.80%"
"Aug 27, 2018","383.00","377.70","384.90","377.70","136.06K","1.40%"
"Aug 26, 2018","377.70","375.00","378.90","375.00","62.58K","0.61%"
"Aug 20, 2018","375.40","374.00","376.80","370.00","78.54K","0.43%"
"Aug 19, 2018","373.80","375.00","379.00","373.60","81.25K","-0.32%"
"Aug 16, 2018","375.00","369.50","377.20","368.00","162.47K","2.29%"
"Aug 14, 2018","366.60","359.60","368.20","359.30","168.89K","2.35%"
"Aug 13, 2018","358.20","353.90","360.30","352.50","136.25K","1.22%"
"Aug 12, 2018","353.90","364.00","366.00","350.60","397.62K","-2.72%"
