"Date","Price","Open","High","Low","Vol.","Change %"
"Jan 01, 2019","253.70","255.00","255.40","253.10","164.20K","-0.20%"
"Dec 27, 2018","254.20","253.30","254.50","253.00","322.76K","0.36%"
"Dec 26, 2018","253.30","251.10","253.90","251.00","177.85K","0.80%"
"Dec 24, 2018","251.30","250.80","251.80","250.60","535.48K","0.12%"
"Dec 23, 2018","251.00","248.70","251.90","247.70","291.97K","0.92%"
"Dec 20, 2018","248.70","250.00","250.20","248.10","219.96K","0.16%"
"Dec 19, 2018","248.30","251.00","251.10","247.80","631.63K","-1.00%"
"Dec 18, 2018","250.80","251.30","254.10","250.20","317.12K","0.04%"
"Dec 17, 2018","250.70","249.80","251.80","248.00","407.81K","1.13%"
"Dec 13, 2018","247.90","248.20","251.00","247.10","951.31K","-0.12%"
"Dec 12, 2018","248.20","252.00","252.40","247.50","547.24K","-1.39%"
"Dec 11, 2018","251.70","253.50","255.00","251.20","293.84K","-1.06%"
"Dec 10, 2018","254.40","254.30","255.00","250.00","781.98K","0.08%"
"Dec 09, 2018","254.20","253.60","255.00","253.60","183.15K","0.24%"
"Dec 06, 2018","253.60","257.20","257.40","252.20","305.87K","-1.48%"
"Dec 05, 2018","257.40","260.00","260.60","256.60","371.61K","-0.96%"
"Dec 04, 2018","259.90","260.00","260.70","258.70","702.46K","-0.04%"
"Dec 03, 2018","260.00","261.00","262.40","259.50","404.39K","-0.54%"
"Dec 02, 2018","261.40","263.50","263.50","260.00","201.04K","-0.80%"
"Nov 29, 2018","263.50","259.00","264.50","258.50","777.16K","2.09%"
"Nov 28, 2018","258.10","258.00","259.90","254.00","718.65K","0.61%"
"Nov 26, 2018","256.54","257.48","258.41","254.86","592.77K","-0.29%"
"Nov 25, 2018","257.29","260.75","262.24","256.45","319.01K","-1.04%"
"Nov 22, 2018","260.00","257.94","262.15","257.01","930.71K","1.38%"
"Nov 20, 2018","256.45","252.24","257.01","251.12","650.42K","2.54%"
"Nov 19, 2018","250.09","248.32","251.40","248.22","474.34K","0.75%"
"Nov 18, 2018","248.22","247.57","251.40","245.98","254.12K","0.95%"
"Nov 15, 2018","245.89","246.73","247.66","245.42","263.71K","0.00%"
"Nov 14, 2018","245.89","248.04","249.07","245.42","247.57K","-0.83%"
"Nov 13, 2018","247.94","247.66","250.28","245.70","321.39K","0.99%"
"Nov 12, 2018","245.51","252.90","252.90","244.49","612.15K","-1.69%"
"Nov 11, 2018","249.72","247.76","253.83","247.01","146.86K","0.98%"
"Nov 08, 2018","247.29","247.66","248.60","246.73","120.81K","-0.08%"
"Nov 07, 2018","247.48","246.54","248.13","246.54","85.33K","0.38%"
"Nov 06, 2018","246.54","247.10","247.57","246.26","339.18K","-0.19%"
"Nov 05, 2018","247.01","246.73","248.50","246.07","312.88K","0.11%"
"Nov 04, 2018","246.73","246.64","247.66","246.07","76.48K","0.04%"
"Nov 01, 2018","246.64","249.81","249.81","246.26","131.52K","-1.23%"
"Oct 31, 2018","249.72","250.47","250.93","248.60","776.04K","0.04%"
"Oct 30, 2018","249.63","249.81","250.56","248.13","186.05K","0.49%"
"Oct 29, 2018","248.41","244.39","249.16","244.39","347.10K","1.72%"
"Oct 28, 2018","244.21","247.57","247.57","243.83","134.18K","-0.57%"
"Oct 25, 2018","245.61","247.20","248.60","244.86","250.30K","-0.34%"
"Oct 24, 2018","246.45","246.45","248.32","244.58","240.57K","0.61%"
"Oct 23, 2018","244.95","246.73","247.66","244.49","366.92K","-0.34%"
"Oct 22, 2018","245.79","252.06","252.06","244.86","798.75K","-2.09%"
"Oct 21, 2018","251.03","251.12","255.14","250.19","172.20K","1.09%"
"Oct 18, 2018","248.32","249.91","251.21","247.57","265.50K","-0.60%"
"Oct 17, 2018","249.81","251.87","251.87","249.16","287.01K","-0.56%"
"Oct 16, 2018","251.21","251.21","253.18","250.56","475.24K","0.26%"
"Oct 15, 2018","250.56","254.67","257.01","250.28","319.09K","-1.54%"
"Oct 14, 2018","254.49","254.77","255.14","252.90","133.70K","-0.04%"
"Oct 11, 2018","254.58","259.72","259.72","253.46","268.33K","-1.91%"
"Oct 10, 2018","259.53","263.74","263.74","258.78","242.86K","-0.86%"
"Oct 09, 2018","261.78","253.55","265.98","253.55","841.55K","3.25%"
"Oct 08, 2018","253.55","252.43","254.02","250.56","174.15K","0.89%"
"Oct 07, 2018","251.31","253.27","253.27","250.84","180.60K","-0.92%"
"Oct 04, 2018","253.64","253.18","255.70","250.93","354.68K","0.18%"
"Oct 03, 2018","253.18","254.21","255.14","252.90","115.55K","-0.59%"
"Oct 02, 2018","254.67","257.01","257.01","254.21","114.90K","-0.22%"
"Oct 01, 2018","255.23","254.67","256.82","253.08","202.07K","0.15%"
"Sep 30, 2018","254.86","251.68","257.85","251.40","249.02K","0.89%"
"Sep 27, 2018","252.62","254.11","255.05","251.40","178.11K","-0.55%"
"Sep 26, 2018","254.02","254.21","256.07","253.27","127.03K","0.26%"
"Sep 25, 2018","253.36","250.47","254.30","249.44","235.85K","1.27%"
"Sep 24, 2018","250.19","250.56","251.40","249.63","144.79K","-0.11%"
"Sep 23, 2018","250.47","249.25","250.93","248.69","279.21K","0.56%"
"Sep 20, 2018","249.07","251.40","251.40","248.60","290.59K","-0.04%"
"Sep 19, 2018","249.16","252.34","254.11","248.60","311.85K","-1.33%"
"Sep 18, 2018","252.52","254.21","254.21","251.87","176.04K","0.04%"
"Sep 17, 2018","252.43","255.05","255.05","251.87","205.81K","-0.48%"
"Sep 16, 2018","253.64","252.34","254.95","251.21","171.74K","0.48%"
"Sep 13, 2018","252.43","254.77","255.89","251.03","414.35K","-0.74%"
"Sep 12, 2018","254.30","253.27","255.42","252.34","348.65K","0.52%"
"Sep 11, 2018","252.99","256.07","256.07","252.43","255.52K","-0.62%"
"Sep 10, 2018","254.58","257.01","257.01","254.11","346.51K","-0.80%"
"Sep 09, 2018","256.64","257.10","257.94","255.98","234.32K","-0.18%"
"Sep 06, 2018","257.10","259.07","260.28","256.54","404.68K","-0.69%"
"Sep 05, 2018","258.88","259.81","260.56","258.04","291.07K","-0.25%"
"Sep 04, 2018","259.53","261.31","261.40","258.97","351.11K","-0.43%"
"Sep 03, 2018","260.65","261.59","261.68","259.81","237.56K","0.54%"
"Aug 30, 2018","259.25","259.81","261.87","258.88","455.08K","0.07%"
"Aug 29, 2018","259.07","259.07","261.21","257.48","615.36K","0.04%"
"Aug 28, 2018","258.97","260.47","260.65","258.22","254.10K","-0.22%"
"Aug 27, 2018","259.53","260.37","262.15","259.16","247.99K","-0.32%"
"Aug 26, 2018","260.37","259.35","261.68","257.94","136.36K","0.87%"
"Aug 20, 2018","258.13","258.22","262.52","257.29","214.54K","-0.07%"
"Aug 19, 2018","258.32","255.98","258.88","255.51","130.15K","1.25%"
"Aug 16, 2018","255.14","256.07","257.85","254.95","356.11K","-0.44%"
"Aug 14, 2018","256.26","251.31","257.20","249.72","204.48K","2.89%"
"Aug 13, 2018","249.07","252.34","253.74","248.60","412.27K","-1.26%"
"Aug 12, 2018","252.24","255.05","255.89","251.40","238.10K","-1.46%"
"Aug 09, 2018","255.98","257.01","257.57","255.61","160.93K","-0.69%"
"Aug 08, 2018","257.76","257.66","260.00","257.01","159.66K","0.04%"
"Aug 07, 2018","257.66","254.21","258.69","254.21","136.26K","1.21%"
"Aug 06, 2018","254.58","252.34","256.07","251.78","204.65K","0.89%"
"Aug 05, 2018","252.34","255.05","255.05","251.40","109.16K","-1.06%"
"Aug 02, 2018","255.05","253.93","257.10","253.27","214.39K","0.44%"
"Aug 01, 2018","253.93","250.47","255.14","250.47","225.65K","1.54%"
"Jul 31, 2018","250.09","247.66","252.52","247.20","241.64K","1.28%"
"Jul 30, 2018","246.92","248.78","249.44","245.79","352.66K","-0.75%"
"Jul 29, 2018","248.78","253.18","253.18","248.32","528.76K","-1.34%"
"Jul 26, 2018","252.15","255.14","255.14","251.40","371.74K","-0.48%"
"Jul 25, 2018","253.36","255.14","257.01","252.24","519.07K","-0.70%"
"Jul 24, 2018","255.14","254.21","256.73","254.21","421.94K","-0.29%"
"Jul 23, 2018","255.89","257.94","258.88","255.05","607.71K","-0.51%"
"Jul 22, 2018","257.20","261.03","261.59","256.82","615.10K","-1.11%"
"Jul 19, 2018","260.09","261.68","262.62","259.81","332.37K","-0.21%"
"Jul 18, 2018","260.65","260.56","261.68","258.41","202.79K","0.83%"
"Jul 17, 2018","258.50","263.36","263.46","257.94","735.56K","-1.57%"
"Jul 16, 2018","262.62","263.55","265.42","261.68","263.45K","-0.25%"
"Jul 15, 2018","263.27","264.39","266.07","262.34","266.51K","-0.07%"
"Jul 12, 2018","263.46","266.36","267.10","262.71","268.93K","-0.67%"
"Jul 11, 2018","265.23","266.45","269.91","263.55","311.58K","-0.28%"
"Jul 10, 2018","265.98","265.89","268.22","265.79","241.68K","-0.14%"
"Jul 09, 2018","266.36","267.29","269.07","265.70","373.56K","-0.07%"
"Jul 08, 2018","266.54","265.14","267.10","265.05","270.02K","0.28%"
"Jul 05, 2018","265.79","265.33","267.76","263.55","287.52K","0.17%"
"Jul 04, 2018","265.33","268.13","268.13","264.67","198.69K","0.21%"
"Jul 03, 2018","264.77","268.22","269.16","264.30","134.87K","-0.49%"
"Jul 02, 2018","266.07","274.77","274.77","265.61","608.55K","-2.87%"
"Jun 28, 2018","273.93","273.83","275.70","270.09","535.85K","0.48%"
"Jun 27, 2018","272.62","273.27","275.70","271.03","552.35K","0.04%"
"Jun 26, 2018","272.52","273.18","274.77","271.50","259.03K","-0.24%"
"Jun 25, 2018","273.18","274.49","276.64","272.90","261.60K","-0.48%"
"Jun 24, 2018","274.49","268.32","279.44","268.32","394.74K","2.34%"
"Jun 21, 2018","268.22","266.36","269.44","266.36","414.37K","1.23%"
"Jun 20, 2018","264.95","267.20","267.29","263.64","471.32K","-0.39%"
"Jun 19, 2018","265.98","266.73","268.22","264.02","453.90K","-0.18%"
"Jun 18, 2018","266.45","267.38","267.57","265.98","310.60K","-0.24%"
"Jun 12, 2018","267.10","266.17","268.04","264.49","431.26K","1.35%"
"Jun 11, 2018","263.55","262.43","265.33","262.43","763.37K","0.75%"
"Jun 10, 2018","261.59","266.26","266.26","260.65","248.72K","-1.41%"
"Jun 07, 2018","265.33","268.88","268.88","264.39","326.31K","-0.35%"
"Jun 06, 2018","266.26","275.61","275.61","265.79","449.13K","-1.72%"
"Jun 05, 2018","270.93","265.61","271.03","265.61","467.54K","2.00%"
"Jun 04, 2018","265.61","261.31","266.36","257.38","485.21K","2.71%"
"Jun 03, 2018","258.60","263.93","263.93","257.10","491.08K","-1.95%"
"May 31, 2018","263.74","267.76","267.76","262.15","604.71K","-1.50%"
"May 30, 2018","267.76","269.53","271.78","266.73","241.83K","-0.66%"
"May 29, 2018","269.53","275.23","275.23","268.69","315.16K","-1.23%"
"May 28, 2018","272.90","276.64","277.94","272.43","298.32K","-1.12%"
"May 27, 2018","275.98","272.90","278.50","272.90","134.46K","1.17%"
"May 24, 2018","272.80","271.21","272.90","269.72","178.67K","0.45%"
"May 23, 2018","271.59","274.30","274.30","270.75","321.89K","-0.96%"
"May 22, 2018","274.21","276.07","279.25","273.64","271.75K","-0.47%"
"May 21, 2018","275.51","274.77","285.05","274.21","412.19K","0.24%"
"May 20, 2018","274.86","277.57","280.19","273.36","367.20K","-0.81%"
"May 17, 2018","277.10","283.08","283.83","276.17","327.46K","-1.20%"
"May 16, 2018","280.47","282.24","284.58","278.88","426.05K","-0.82%"
"May 15, 2018","282.80","282.43","283.74","282.34","170.04K","0.16%"
"May 14, 2018","282.34","282.24","283.08","281.12","182.53K","0.00%"
"May 13, 2018","282.34","284.95","284.95","281.31","228.26K","-0.03%"
"May 10, 2018","282.43","284.86","284.86","280.28","324.66K","-0.30%"
"May 09, 2018","283.27","281.40","283.83","280.37","439.52K","0.90%"
"May 08, 2018","280.75","283.64","284.11","279.44","682.04K","-0.86%"
"May 07, 2018","283.18","285.05","285.89","282.99","474.45K","-0.62%"
"May 06, 2018","284.95","284.58","286.92","284.39","275.35K","0.20%"
"May 03, 2018","284.39","287.20","288.69","284.02","378.85K","-0.85%"
"Apr 30, 2018","286.82","291.59","291.59","286.36","627.69K","-1.26%"
"Apr 26, 2018","290.47","291.59","291.59","289.91","235.57K","0.00%"
"Apr 25, 2018","290.47","291.59","292.43","289.72","414.91K","-0.13%"
"Apr 24, 2018","290.84","292.52","292.99","289.25","424.46K","-0.51%"
"Apr 23, 2018","292.34","293.46","294.39","291.68","247.99K","-0.29%"
"Apr 22, 2018","293.18","293.55","295.33","292.99","212.65K","-0.41%"
"Apr 19, 2018","294.39","292.99","295.70","292.24","454.83K","0.67%"
"Apr 18, 2018","292.43","293.83","293.83","292.06","236.30K","-0.29%"
"Apr 17, 2018","293.27","294.11","294.11","292.52","278.34K","0.06%"
"Apr 16, 2018","293.08","293.74","294.30","291.31","208.34K","-0.16%"
"Apr 15, 2018","293.55","293.74","294.39","293.36","141.23K","0.06%"
"Apr 12, 2018","293.36","294.30","294.67","293.08","316.15K","-0.22%"
"Apr 11, 2018","294.02","296.54","296.54","293.08","212.71K","-0.69%"
"Apr 10, 2018","296.07","297.20","298.04","295.61","242.23K","-0.03%"
"Apr 09, 2018","296.17","293.83","297.85","293.36","400.63K","0.67%"
"Apr 08, 2018","294.21","294.02","294.86","293.83","309.68K","-0.13%"
"Apr 05, 2018","294.58","292.99","295.33","292.99","344.32K","0.35%"
"Apr 04, 2018","293.55","294.21","294.39","292.71","271.45K","0.10%"
"Apr 03, 2018","293.27","294.39","295.33","292.80","252.22K","-0.38%"
"Apr 02, 2018","294.39","292.99","295.51","292.06","358.40K","0.80%"
"Apr 01, 2018","292.06","290.65","294.30","290.56","201.69K","0.81%"
"Mar 29, 2018","289.72","284.39","293.46","284.39","605.91K","1.71%"
"Mar 28, 2018","284.86","287.94","289.53","284.11","505.16K","-1.10%"
"Mar 27, 2018","288.04","290.84","291.40","287.85","333.42K","-1.22%"
"Mar 25, 2018","291.59","292.06","293.36","291.31","116.82K","0.00%"
"Mar 22, 2018","291.59","293.46","294.77","289.72","262.76K","-0.22%"
"Mar 21, 2018","292.24","295.79","295.79","291.59","400.16K","-0.35%"
"Mar 20, 2018","293.27","294.30","294.30","292.52","190.83K","-0.16%"
"Mar 19, 2018","293.74","295.42","295.42","293.27","190.48K","-0.57%"
"Mar 18, 2018","295.42","295.05","296.26","294.49","170.90K","0.25%"
"Mar 15, 2018","294.67","293.93","295.79","291.68","228.42K","0.54%"
"Mar 14, 2018","293.08","291.59","293.74","291.50","199.79K","0.54%"
"Mar 13, 2018","291.50","293.18","293.36","289.72","219.60K","-0.54%"
"Mar 12, 2018","293.08","296.07","296.07","292.34","195.99K","-0.70%"
"Mar 11, 2018","295.14","294.86","295.70","294.21","133.56K","-0.09%"
"Mar 08, 2018","295.42","295.98","297.20","293.08","333.33K","-0.19%"
"Mar 07, 2018","295.98","297.20","297.85","295.79","103.75K","-0.19%"
"Mar 06, 2018","296.54","297.20","297.20","294.21","251.90K","0.35%"
"Mar 05, 2018","295.51","296.82","297.66","293.46","125.96K","-0.38%"
"Mar 04, 2018","296.64","295.42","299.53","295.33","226.64K","0.41%"
"Mar 01, 2018","295.42","294.39","297.57","292.34","263.67K","0.89%"
"Feb 28, 2018","292.80","294.11","295.33","290.37","389.48K","-0.45%"
"Feb 27, 2018","294.11","290.19","295.23","288.69","414.13K","1.88%"
"Feb 26, 2018","288.69","292.06","292.06","287.66","551.32K","-1.09%"
"Feb 25, 2018","291.87","300.00","300.00","291.21","778.89K","-1.73%"
"Feb 22, 2018","297.01","302.62","302.62","296.26","480.52K","-0.66%"
"Feb 20, 2018","298.97","302.71","302.80","298.60","479.94K","-0.59%"
"Feb 19, 2018","300.75","302.06","303.64","300.47","243.33K","-0.56%"
"Feb 18, 2018","302.43","302.52","302.80","300.93","229.72K","-0.09%"
"Feb 15, 2018","302.71","304.21","304.21","302.52","373.43K","-0.34%"
"Feb 14, 2018","303.74","305.61","305.61","303.36","369.30K","-0.43%"
"Feb 13, 2018","305.05","305.79","306.45","304.58","302.04K","-0.30%"
"Feb 12, 2018","305.98","310.28","310.28","304.86","638.76K","-0.79%"
"Feb 11, 2018","308.41","306.07","308.78","305.70","505.65K","0.92%"
"Feb 08, 2018","305.61","303.74","306.17","303.74","501.20K","0.55%"
"Feb 07, 2018","303.93","301.96","305.61","301.87","388.32K","0.15%"
"Feb 06, 2018","303.46","305.05","306.07","302.90","286.18K","-0.03%"
"Feb 05, 2018","303.55","305.42","305.42","299.07","566.79K","-0.25%"
"Feb 04, 2018","304.30","306.26","306.35","303.93","404.57K","-0.46%"
"Feb 01, 2018","305.70","305.61","307.01","303.93","369.04K","0.34%"
"Jan 31, 2018","304.67","307.48","307.48","298.88","822.98K","-0.34%"
"Jan 30, 2018","305.70","310.09","310.19","304.67","225.18K","-0.88%"
"Jan 29, 2018","308.41","303.08","308.88","300.93","682.92K","1.76%"
"Jan 28, 2018","303.08","307.94","307.94","299.07","722.87K","-1.58%"
"Jan 25, 2018","307.94","308.50","308.50","303.74","698.73K","-0.15%"
"Jan 24, 2018","308.41","311.21","311.40","306.73","889.93K","-0.96%"
"Jan 23, 2018","311.40","313.08","313.08","306.54","1.45M","-0.18%"
"Jan 22, 2018","311.96","303.74","313.08","302.71","2.00M","3.06%"
"Jan 21, 2018","302.71","302.52","304.11","300.09","938.39K","0.19%"
"Jan 18, 2018","302.15","294.39","302.80","294.39","1.50M","2.31%"
"Jan 17, 2018","295.33","290.65","299.16","290.65","1.73M","1.81%"
"Jan 16, 2018","290.09","287.85","290.65","287.76","746.83K","0.58%"
"Jan 15, 2018","288.41","286.07","289.16","285.98","1.06M","0.82%"
"Jan 14, 2018","286.07","286.92","287.38","285.05","304.33K","-0.30%"
"Jan 11, 2018","286.92","285.42","287.85","285.42","834.87K","0.46%"
"Jan 10, 2018","285.61","284.95","287.29","284.11","273.16K","0.56%"
"Jan 09, 2018","284.02","283.36","284.11","282.52","400.50K","0.26%"
"Jan 08, 2018","283.27","284.95","285.05","282.24","386.19K","-0.36%"
"Jan 07, 2018","284.30","285.89","286.92","283.55","184.50K","-0.36%"
"Jan 04, 2018","285.33","287.48","288.50","284.11","329.64K","-0.71%"
"Jan 03, 2018","287.38","284.30","287.85","284.11","412.72K","1.08%"
"Jan 02, 2018","284.30","282.06","285.05","282.06","387.57K","0.79%"
"Jan 01, 2018","282.06","282.15","283.18","280.47","187.51K","0.00%"
"Dec 28, 2017","282.06","278.69","282.34","278.22","692.94K","1.21%"
"Dec 27, 2017","278.69","279.53","280.28","278.50","282.08K","-0.07%"
"Dec 26, 2017","278.88","281.40","282.90","278.50","393.87K","-0.90%"
"Dec 24, 2017","281.40","281.03","282.24","278.04","265.23K","0.13%"
"Dec 21, 2017","281.03","280.37","283.18","278.50","369.34K","0.37%"
"Dec 20, 2017","280.00","280.56","280.75","279.72","657.68K","-0.27%"
"Dec 19, 2017","280.75","281.59","282.06","280.28","377.55K","-0.20%"
"Dec 18, 2017","281.31","281.50","281.78","280.65","679.25K","-0.07%"
"Dec 17, 2017","281.50","281.87","282.24","281.21","193.51K","-0.23%"
"Dec 14, 2017","282.15","282.43","283.64","281.50","269.80K","-0.13%"
"Dec 13, 2017","282.52","284.11","284.58","281.40","239.97K","-0.59%"
"Dec 12, 2017","284.21","282.43","285.05","281.50","625.02K","0.50%"
"Dec 11, 2017","282.80","285.05","285.42","282.34","435.61K","-0.92%"
"Dec 10, 2017","285.42","287.01","288.41","284.58","238.68K","-1.04%"
"Dec 07, 2017","288.41","290.09","291.03","287.94","241.17K","-0.58%"
"Dec 06, 2017","290.09","286.17","290.84","285.51","1.32M","1.50%"
"Dec 05, 2017","285.79","286.92","287.01","285.42","349.04K","-0.46%"
"Dec 04, 2017","287.10","280.47","287.76","280.37","934.02K","2.13%"
"Dec 03, 2017","281.12","283.08","283.08","280.56","265.20K","-0.33%"
"Nov 30, 2017","282.06","281.40","282.71","281.21","620.18K","0.27%"
"Nov 29, 2017","281.31","282.24","283.18","280.93","342.66K","-0.43%"
"Nov 28, 2017","282.52","284.86","284.86","280.84","416.26K","-0.20%"
"Nov 27, 2017","283.08","285.05","285.51","282.43","510.62K","-0.72%"
"Nov 26, 2017","285.14","288.50","288.69","283.64","485.33K","-0.13%"
"Nov 23, 2017","285.51","285.98","289.35","284.39","663.06K","-0.20%"
"Nov 22, 2017","286.07","284.11","288.78","283.83","1.10M","0.36%"
"Nov 21, 2017","285.05","289.72","289.72","284.58","792.43K","-1.87%"
"Nov 20, 2017","290.47","283.18","290.84","282.24","1.71M","3.08%"
"Nov 19, 2017","281.78","279.25","284.11","278.04","938.64K","1.45%"
"Nov 16, 2017","277.76","275.51","278.50","274.86","1.08M","1.19%"
"Nov 15, 2017","274.49","269.53","276.07","269.53","1.46M","2.66%"
"Nov 14, 2017","267.38","261.50","269.16","259.07","1.32M","3.21%"
"Nov 13, 2017","259.07","258.22","261.68","258.04","732.00K","0.29%"
"Nov 12, 2017","258.32","260.65","260.75","258.04","617.46K","-0.89%"
"Nov 09, 2017","260.65","274.86","274.86","258.32","925.67K","0.91%"
"Nov 07, 2017","258.29","258.20","258.73","257.68","735.09K","0.07%"
"Nov 06, 2017","258.12","257.42","258.20","257.34","445.44K","0.27%"
"Nov 05, 2017","257.42","257.42","258.81","257.25","411.05K","-0.14%"
"Nov 02, 2017","257.77","258.90","258.90","256.73","357.36K","0.27%"
"Nov 01, 2017","257.07","258.64","258.64","256.55","287.86K","-0.57%"
"Oct 31, 2017","258.55","256.55","259.25","256.47","291.84K","0.40%"
"Oct 30, 2017","257.51","256.47","258.38","255.60","501.53K","0.51%"
"Oct 29, 2017","256.21","256.47","258.20","252.12","327.17K","1.10%"
"Oct 26, 2017","253.42","258.20","258.20","252.81","456.05K","-1.12%"
"Oct 25, 2017","256.29","257.60","258.99","256.03","354.54K","-0.64%"
"Oct 24, 2017","257.94","259.94","259.94","257.42","278.45K","-0.27%"
"Oct 23, 2017","258.64","260.03","260.81","258.20","369.09K","-0.77%"
"Oct 22, 2017","260.64","260.12","261.25","258.55","304.36K","0.20%"
"Oct 19, 2017","260.12","258.55","261.68","258.38","369.26K","0.64%"
"Oct 18, 2017","258.47","258.20","259.07","256.73","327.97K","0.34%"
"Oct 17, 2017","257.60","258.29","258.29","253.86","761.90K","-0.23%"
"Oct 16, 2017","258.20","262.38","262.38","256.47","276.61K","-0.80%"
"Oct 15, 2017","260.29","262.55","262.55","255.60","729.09K","-0.47%"
"Oct 12, 2017","261.51","264.81","264.81","260.03","402.75K","-0.73%"
"Oct 11, 2017","263.42","264.64","265.16","261.68","370.94K","-0.46%"
"Oct 10, 2017","264.64","264.55","265.59","263.42","306.95K","-0.03%"
"Oct 09, 2017","264.73","266.99","268.55","264.29","562.65K","-0.78%"
"Oct 08, 2017","266.81","265.16","267.33","263.42","619.25K","0.95%"
"Oct 05, 2017","264.29","262.55","265.16","261.68","322.15K","0.66%"
"Oct 04, 2017","262.55","265.16","265.16","261.77","488.10K","-0.03%"
"Oct 03, 2017","262.64","264.29","264.29","262.12","440.95K","-0.30%"
"Oct 02, 2017","263.42","268.46","268.46","261.07","408.60K","-0.98%"
"Sep 28, 2017","266.03","266.46","268.55","265.42","402.88K","-0.65%"
"Sep 27, 2017","267.77","266.90","268.64","266.46","506.73K","0.10%"
"Sep 26, 2017","267.51","266.90","269.51","266.03","340.60K","0.10%"
"Sep 25, 2017","267.25","270.46","271.25","266.72","585.15K","-1.19%"
"Sep 24, 2017","270.46","264.90","271.68","264.90","372.03K","2.03%"
"Sep 21, 2017","265.07","264.64","266.81","263.51","351.86K","0.10%"
"Sep 20, 2017","264.81","268.38","268.38","263.51","572.53K","-1.33%"
"Sep 19, 2017","268.38","268.64","271.25","268.12","441.64K","-0.03%"
"Sep 18, 2017","268.46","272.81","273.68","267.77","553.65K","-1.66%"
"Sep 17, 2017","272.98","275.59","275.59","269.59","650.08K","-0.38%"
"Sep 14, 2017","274.03","266.81","278.03","266.81","1.17M","2.64%"
"Sep 13, 2017","266.99","262.12","268.38","261.33","944.05K","1.69%"
"Sep 12, 2017","262.55","262.73","265.59","261.77","668.03K","0.00%"
"Sep 11, 2017","262.55","259.68","266.81","259.68","1.21M","1.11%"
"Sep 10, 2017","259.68","253.86","261.51","253.68","1.37M","2.58%"
"Sep 07, 2017","253.16","250.03","253.77","249.77","1.40M","1.32%"
"Sep 06, 2017","249.86","251.25","252.12","248.90","276.04K","-0.55%"
"Sep 05, 2017","251.25","251.95","253.77","249.51","458.97K","-0.28%"
"Sep 04, 2017","251.95","249.51","252.12","248.90","456.96K","1.29%"
"Aug 31, 2017","248.73","246.90","249.34","246.90","521.60K","0.74%"
"Aug 30, 2017","246.90","246.38","247.08","245.69","156.61K","0.78%"
"Aug 29, 2017","244.99","244.47","245.16","244.21","212.35K","0.07%"
"Aug 28, 2017","244.82","245.95","245.95","244.56","456.06K","-0.28%"
"Aug 27, 2017","245.51","244.73","246.29","243.69","203.84K","0.46%"
"Aug 24, 2017","244.38","244.29","245.16","243.51","140.45K","-0.14%"
"Aug 23, 2017","244.73","244.29","245.08","243.08","190.80K","0.65%"
"Aug 22, 2017","243.16","243.86","244.29","242.56","264.77K","-0.22%"
"Aug 21, 2017","243.69","243.25","244.47","242.12","236.76K","0.18%"
"Aug 20, 2017","243.25","243.69","245.08","243.08","283.79K","-0.18%"
"Aug 17, 2017","243.69","244.73","244.73","243.51","400.12K","-0.57%"
"Aug 16, 2017","245.08","246.03","246.03","244.38","199.91K","-0.32%"
"Aug 13, 2017","245.86","246.90","246.90","245.25","197.05K","-0.11%"
"Aug 10, 2017","246.12","246.21","246.82","245.16","183.72K","0.11%"
"Aug 09, 2017","245.86","246.99","246.99","244.73","304.02K","0.39%"
"Aug 08, 2017","244.90","244.73","245.16","244.73","297.01K","0.03%"
"Aug 07, 2017","244.82","245.69","246.03","244.56","643.51K","-0.42%"
"Aug 06, 2017","245.86","244.99","246.99","244.73","170.97K","0.32%"
"Aug 03, 2017","245.08","245.77","246.03","244.99","684.26K","-0.28%"
"Aug 02, 2017","245.77","246.03","246.29","245.34","272.50K","-0.18%"
"Aug 01, 2017","246.21","245.60","246.29","245.60","187.65K","0.14%"
"Jul 31, 2017","245.86","248.38","248.38","245.25","585.05K","-0.39%"
"Jul 30, 2017","246.82","246.03","247.77","245.16","163.39K","0.46%"
"Jul 27, 2017","245.69","245.25","246.29","245.25","230.23K","0.22%"
"Jul 26, 2017","245.16","245.16","245.95","244.99","367.28K","-0.07%"
"Jul 25, 2017","245.34","245.77","247.42","244.82","423.87K","-0.17%"
"Jul 24, 2017","245.77","246.56","246.56","245.34","941.24K","-0.28%"
"Jul 23, 2017","246.47","246.73","248.38","246.12","178.80K","-0.11%"
"Jul 20, 2017","246.73","248.38","248.47","246.12","157.48K","0.14%"
