Date,News,Score,Binary Score
1/4/2010 0:00,"Saddled with cash, the country's biggest mobile telephony firm Grameenphone (GP) had repaid US$60 million (Tk 4.25 billion) in debt issued via a privately placed bond, a year before its maturity.",3,1
1/6/2010 0:00,The pharmaceutical sector continued to perform better rising 1.01 per cent with the country's top drug maker Square Pharma edged 1.34 percent up and its closest rival Beximco Pharma gained 1.95 percent.,4,1
1/12/2010 0:00,The earth-breaking ceremony of Square Pharmaceuticals Limited Unit 3 took place Sunday to meet the increasing demands from the industry.,3,1
1/12/2010 0:00,"Square Pharmaceuticals Limited was doing business in local and international markets with own goodwill. Their demand was increasing for providing the quality products. To meet up the increasing demand, they initiated to expand the plant.",5,1
1/12/2010 0:00,"Square Pharmaceuticals Limited was the leading drug manufacturing company of Bangladesh. Using the state of the art technology, Square Pharma produced quality products and was increasing their market share in both the local and global arenas.",5,1
1/19/2010 0:00,Grameenphone (GP) Limited has signed an agreement with the Secondary Education Quality and Access Enhancement Project (SEQAEP) to provide communication facilities to 121 upazila secondary education offices under 61 districts across the country according to a press release.,5,1
1/19/2010 0:00,"Dhaka stocks continued to rally in a fluctuating market with the benchmark index of Dhaka Stock Exchange (DSE) crossing the 4,900-mark for the first time in the history of the country's premier bourse. The benchmark DSE General Index (DGEN) surged by 47.12 points or 0.96 percent to settle at 4,923.38, lifted by Grameenphone, the country's largest mobile phone operator, which accounted for 16.58 percent of the total market capitalisation.",4,1
1/22/2010 0:00,A Grameenphone gain of 7.71 percent thrust the Dhaka Stock Exchange (DSE) benchmark index above historic 5000 mark.,4,1
1/25/2010 0:00,"The pharmaceutical sector increased significantly as most of the heavyweights ended in the green terrain. Square Pharmaceuticals, a leading drug-maker, rose 0.25 per cent and its closest rival Beximco Pharma rose 3.29 per cent.",3,1
1/28/2010 0:00,"The pharmaceuticals sector closed mixed with some of the shares remaining idle. Square Pharma, the country's top drug maker, rose 3.48 per cent.",3,1
1/29/2010 0:00,"Pharmaceuticals sector gained 1.20 per cent with Square Pharma, the country's top drug producer, moved up 2.82 percent.",4,1
2/3/2010 0:00,"Square Toiletries Ltd, a toiletries and pharmaceuticals manufacturer in the country, held its Annual Distributors' Conference 2010 at Pabna. Golam Robbani, director of Square Pharmaceuticals Ltd, Pabna Plant, inaugurated the event according to a press release.",3,1
2/8/2010 0:00,Grameenphone Limited (GP) signed another deal with Axiata (Bangladesh) Limited known as Aktel to share their infrastructure for mutual benefit. The agreement between the two companies was signed to share their telecom infrastructure mainly to expand rural network.,4,1
2/9/2010 0:00,"Dhaka stocks rose for the third straight session amid volatile trading, lifted by the country's largest mobile phone service operator, Grameenphone.",3,1
2/10/2010 0:00,"GrameenPhone, the cell phone company, said its last year's fourth quarter (Q4) revenue grew slightly by 2.6 percent to Tk 16.75 billion as it cruised along the bumpy road of global recession.",4,1
2/15/2010 0:00,"Dhaka stocks made its largest single-day gain in more than two weeks Sunday as the benchmark index crossed 5,700-mark for the first time with top mobile phone company Grameenphone (GP) setting the pace.",5,1
